Judul,Author,Topik,Waktu,Gambar,Isi Berita
Juliari Batubara Diadili Terkait Kasus Bansos 21 April,Zunita Putri,"juliari batubara,korupsi bansos corona,korupsi bansos covid-19,suap bansos corona,kpk","Senin, 19 Apr 2021 18:34 WIB",https://akcdn.detik.net.id/community/media/visual/2020/12/06/diborgol-dan-berompi-tahanan-mensos-juliari-batubara-ditahan-kpk_169.jpeg?w=700&q=90,"Mantan Menteri Sosial (Mensos) dkk segera diadili di Pengadilan Tipikor Jakarta terkait kasus dugaan korupsi . Sidang perdana Juliari akan digelar pada 21 April 2021.Berdasarkan data di Sistem Informasi Penelusuran Perkara (SIPP) Pengadilan Tipikor Jakarta pada Pengadilan Negeri Jakarta Pusat, dilihat Senin (19/4/2021), tercatat perkara  nomor 29/Pid.Sus-TPK/2021/PN Jkt.Pst. Selain Juliari, KPA Bansos Corona Adi Wahyono dan PPK Bansos Corona Matheus Joko Santoso juga akan disidang bersama Juliari dengan berkas terpisah.""Jadwal sidang (Juliari Peter Batubara) Rabu, 21 April 2021, pukul 10.00 WIB. Agenda sidang pertama di ruangan Hatta Ali,"" bunyi keterangan di SIPP.Dalam perkara ini, Juliari akan didakwa Pasal 12 huruf b atau Pasal 11  Pasal 18 UU No 31 Tahun 1999 tentang Pemberantasan Tipikor sebagaimana diubah dengan UU No 20 Tahun 2001 tentang Perubahan atas UU RI Nomor 31 Tahun 1999 Tentang Pemberantasan Tipikor  Pasal 55 ayat (1) ke-1 KUHP  Pasal 64 ayat (1) KUHP.Diketahui, terkait perkara ini, KPK menjerat lima orang sebagai tersangka. Mereka adalah , Matheus Joko Santoso, Adi Wahyono, Ardian IM, dan Harry Sidabukke.Matheus dan Adi adalah pejabat pembuat komitmen atau PPK di Kemensos. Sedangkan Harry dan Ardian adalah pihak swasta sebagai vendor dari pengadaan bansos. Tersangka Harry Sidabukke dan Ardian IM sudah menjalani sidang di Pengadilan Tipikor dan dituntut 4 tahun penjara denda Rp 100 juta dan subsider 4 bulan kurungan.KPK menduga Juliari menerima jatah Rp 10 ribu dari setiap paket sembako senilai Rp 300 ribu per paket. Total setidaknya KPK menduga Juliari Batubara sudah menerima Rp 8,2 miliar dan Rp 8,8 miliar."
Potret Kemacetan di Tendean Gegara Proyek Galian,Rifkianto Nugroho,"macet,kemacetan,detikcom do your magic,fotodetikcom","Senin, 19 Apr 2021 18:33 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/potret-kemacetan-di-tendean-gegara-proyek-galian_169.jpeg?w=700&q=90,
Filipina Lanjutkan Penggunaan Vaksin AstraZeneca untuk 60 Tahun ke Bawah,Novi Christiastuti,"filipina,vaksin corona,vaksin astrazeneca,virus corona,covid-19","Senin, 19 Apr 2021 18:35 WIB",https://akcdn.detik.net.id/community/media/visual/2021/03/09/vaksin-astrazeneca_169.jpeg?w=700&q=90,"Pemerintah akan melanjutkan kembali penggunaan vaksin  (COVID-19) buatan AstraZeneca untuk orang-orang berusia 60 tahun ke bawah. Hal ini mengakhiri penangguhan penggunaan  terkait laporan kasus pembekuan darah yang langka terhadap penerima vaksin ini di luar negeri.Seperti dilansir  dan , Senin (19/4/2021), otoritas Filipina menangguhkan penggunaan vaksin AstraZeneca untuk kelompok usia di bawah 60 tahun sejak 8 April lalu, setelah berbagai laporan kasus  pada orang-orang yang disuntik vaksin AstraZeneca di beberapa negara.Dalam konferensi pers pada Senin (19/4) waktu setempat, Wakil Menteri Kesehatan Filipina, Maria Rosario Vergeire, mengumumkan penangguhan itu dicabut dan penggunaan vaksin AstraZeneca dilanjutkan.""Manfaatnya lebih besar dari risikonya. Hanya sebagian kecil populasi yang mengalami dampak merugikan dari AstraZeneca,"" tegas Vergeire dalam konferensi pers, merujuk pada populasi negara-negara di mana kasus pembekuan darah dilaporkan.Dituturkan Vergeire bahwa otoritas kesehatan Filipina akan merilis panduan yang mencakup tindakan pencegahan yang berbeda-beda terkait penggunaan vaksin AstraZeneca.Regulator Obat-obatan Eropa sebelumnya merekomendasikan untuk memasukkan pembekuan darah dalam daftar efek samping langka dari vaksin AstraZeneca.Beberapa negara Eropa diketahui menangguhkan penggunaan vaksin AstraZeneca untuk populasi yang berusia lebih muda setelah sebelumnya membatasi penggunaannya karena kekhawatiran kasus pembekuan darah.
        "
"Kasus Corona Solo Naik Usai Libur Panjang, Satpol PP Pantau Bukber",Bayu Ardi Isnanto,"solo,corona di solo,corona di jateng,virus corona,birojatengdiy,ramadhan 2021","Senin, 19 Apr 2021 18:36 WIB",https://akcdn.detik.net.id/community/media/visual/2020/07/22/mural-waspada-corona-hiasi-jalan-di-solo_169.jpeg?w=700&q=90,"Kasus baruatau COVID-19 di Kota Solo menunjukkan peningkatan usai libur panjang di awal bulan April. Mengantisipasi peningkatan yang lebih parah, Satpol PP Solo gencar melakukan operasi ke hotel dan rumah makan saat berbuka puasa.Berdasarkan data Gugus Tugas COVID-19 Solo, dalam sepekan terakhir penambahan kasus baru Corona mencapai 152 orang. Angka terbanyak terjadi pada 15 April 2021 dengan 57 orang positif.Padahal sebelumnya, angka penambahan hanya berkisar pada belasan kasus, bahkan di bawah angka 10. Meski begitu, angka ini sudah mengalami banyak penurunan dibandingkan saat Solo mengalami zona merah.Kepala Satpol PP Solo, Arif Darmawan, mengatakan tidak ingin adanya peningkatan kasus lebih besar. Antisipasi dilakukan dengan melakukan operasi di lokasi-lokasi buka bersama.""Kita identifikasi beberapa hotel dan rumah makan yang melakukan pelanggaran. Empat hari ini kita keluarkan tiga peringatan, salah satunya ke hotel. Rata-rata masih menggunakan sistem prasmanan, padahal dalam aturan kan tidak boleh,"" kata Arif saat dijumpai di Balai Kota Solo, Senin (19/4/2021).Dia menegaskan acara buka bersama tidak dilarang. Namun aturan-aturan dan protokol kesehatan tetap harus diperhatikan.""Bukan dilarang buka bersama itu. Hanya prokesnya tadi, tidak boleh prasmanan, tidak boleh kerumunan, kalau pun boleh prasmanan diambilkan penjaganya,"" ujar Arif.Dari pantauan Satpol PP Solo, saat ini justru semakin banyak masyarakat yang abai dengan protokol kesehatan. Arif menduga hal tersebut terjadi karena banyak masyarakat telah divaksin.""Mereka menganggap setelah divaksin itu sudah normal, padahal kan prokes itu tetap harus dijaga. Ini tugas semua pihak untuk mensosialisasikan lagi bahwa prokes tetap harus ditegakkan meski sudah divaksin,"" katanya.Sementara itu, Kepala Dinas Kesehatan Kota Solo, Siti Wahyuningsih, membenarkan adanya peningkatan kasus baru dalam sepekan terakhir. Dia menduga penyebabnya ialah libur panjang sekaligus masyarakat yang semakin abai protokol kesehatan.""Kemungkinan (libur panjang) memang berpengaruh. Kemudian protokol kesehatan itu sifatnya mutlak, meskipun sudah divaksin,"" kata Ning, sapaannya.Dia mengimbau agar protokol kesehatan dalam kegiatan Ramadhan terus dijaga. Sebab banyak kegiatan yang berpotensi menyebabkan kerumunan massa.""Seperti buka bersama, ini kan potensi, tarawih bareng, makanya protokol kesehatan benar-benar diterapkan. Ini tanggung jawab kita semuanya untuk melindungi diri kita sendiri dan melindungi orang lain,"" pungkasnya."
Geger Bocah 4 Tahun di Pandeglang Disunat Gaib,Rifat Alhamidi,"pandeglang,birojabar,disunat gaib","Senin, 19 Apr 2021 18:38 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/heboh-bocah-4-tahun-di-pandeglang-disunat-gaib_169.jpeg?w=700&q=90,"Seorang bocah berumur 4 tahun di Pandeglang, Banten mendadak mengalami hal aneh setelah menemukan alat vitalnya dalam kondisi sudah 'disunat'.Anak laki-laki bernama Andika Pratama itu lantas langsung histeris dan mengadukan fenomena yang kerap dikenal sebagai 'sunat gaib' tersebut kepada orang tuanya.Peristiwa ini terjadi di Kampung Ciakar, Desa Sukamanah, Kecamatan Menes, Pandeglang, Banten pada Sabtu (17/4/2021) sekira pukul 17.00 WIB. Waktu itu, Andika yang baru saja bangun dari tidurnya tiba-tiba menjerit histeris karena alat vitalnya sudah dalam kondisi 'disunat' tanpa bantuan orang lain.""Kejadiannya pas mau buka puasa, sore kang. Waktu itu kan hujan gede, petirnya juga kenceng, tiba-tiba anak saya nangis ke ibunya. Pas dilihat alat vitalnya sudah begitu (sudah posisi 'disunat'),"" kata ayah Andika, Ahmad Ajid saat ditemui di rumahnya, Pandeglang, Banten, Senin (19/4/2021).Ajid mengaku tidak menemukan tanda-tanda yang aneh sebelum anaknya mengalami 'sunat gaib'. Bahkan, anak bungsu dari 3 bersaudara itu masih melakukan hal normal bersama anak sebayanya sebelum ditemukan menjerit histeris di dalam kamar.""Siangnya itu masih maen kang sama temen-temennya di luar, masih lari-larian bahkan. Terus kan dia pulang karena mendung waktu itu, dia bilang ke ibunya mau tidur. Sempet ditawarin makan tapi enggak mau, diajak mandi juga sama enggak mau,"" ungkap Ajid.Setelah masuk kamar, anak tersebut langsung terlelap sendiri lengkap dengan pakaian yang ia kenakan sepulang bermain bersama teman sebayanya. Namun dari sini, keanehan yang dialami bocah laki-laki berumur 4 tahun itu mulai bermunculan.Berawal dari teriakan histeris, sang ibu langsung mengecek anak tersebut ke dalam kamar. Sang ibu juga ikut terkejut lantaran menemukan anaknya sudah dalam posisi telanjang dan alat vitalnya mengalami kondisi berubah layaknya anak laki-laki yang telah 'disunat'.""Pas kejadian itu enggak ada yang tahu, ketahuannya pas anak saya nangis kenceng. Dicek sama ibunya,atuh istri saya juga sama ikut kaget. Posisinya dia udah telanjang terusitunya (alatvitalnya) udah disunat, padahal tadinya pas masuk kamar dia masih pakai baju lengkap kang,"" tuturAjid."
"Kejati Tetapkan Tersangka Hibah Ponpes Rp 117 M, Ini Kata Gubernur Banten",Bahtiar Rifa'i,"dana hibah ponpes,gubernur banten wahidin halim,korupsi,serang,birojabar","Senin, 19 Apr 2021 18:39 WIB",https://akcdn.detik.net.id/community/media/visual/2020/12/14/gubernur-banten-wahidin-halim_169.jpeg?w=700&q=90,"Gubernur Banten Wahidin Halim mengaku sudah mendengar Kejaksaan Tinggi Banten telah menetapkan satu tersangka terkait dugaan korupsi hibah untuk pondok pesantren Rp 117 miliar. Perbuatan penyunatan hibah itu dianggap tidak bermoral.""Biar kapok itu yang lain. Duit kiai dipotongin, sama sekali tidak bermoral, bukan sekedar melanggar hukum tapi secara moralitas kok tega-teganya duit pak kiai, buat pak kiai atas inisiatif gubernur, paling tidak sebagai bentuk penghargaan gubernur pada kiai, kok dengan seenaknya dia potong atau nggak dia kasih, tidak amanah,"" kata Wahidin Halim dalam keterangan yang disampaikan kepada wartawan di Serang, Banten, Senin (19/4/2021).Perbuatan tersangka yang memotong hibah juga dianggap perbuatan zalim. Ia bahkan tidak terima anggaran hibah itu jadi bancakan segelintir orang.""Maka dia sebagai pegawai atau bukan, itu perbuatan zalim, saya tidak terima,"" ujarnya.Pemprov, lanjutnya mendukung langkah Kejati mengusut tuntas kasus ini. Termasuk penggeledahan mencari barang bukti yang dilakukan di Biro Kesra dan Masjid Al Bantani pada hari ini.""Biarkan saja, kita mendukung langkah-langkah kejaksaan, biar semuanya jelas, biar semuanya transparan, biar semuanya nanti tidak mengulangi lagi perbuatan itu, juga dalam rangka melawan korupsi, kita lawan kita berantas korupsi, itu komitmen saya,"" terangnya.Gubernur sendiri belum tahu apakah kasus ini melibatkan PNS di Pemprov atau tidak. Karena, sejauh ini baru satu tersangka merupakan oknum penyunat langsung di pesantren.""Kemarin yang ditangkap bukan oknum PNS atau kesra. Tapi saya kira harus dituntaskan, kita dapatkan orang-orang mana yang harus dihukum karena bukan nilai besar kecilnya, tapi lebih pada syahwat yang tidak punya nurani dan hati,"" pungkasnya.Kejati Banten telah menetapkan satu tersangka atas inisial ES terduga penyunatan hibah pondok pesantren. Hari ini, tim penyidik juga menggeledah Masjid Al Bantani dan kantor Biro Kesra dan menyita tumbukan berkas untuk dijadikan barang bukti."
Tolong! Pengungsi Kebakaran Keagungan Jakbar Butuh Obat-obatan dan Pakaian,Rahmat Fathan,"kebakaran,taman sari,jakarta barat,pengungsi","Senin, 19 Apr 2021 18:44 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/korban-kebakaran-di-keagungan-taman-sari-jakbar_169.jpeg?w=700&q=90,"Ratusan kepala keluarga (KK) terdampak  di , Taman Sari, Jakarta Barat (Jakbar). Para pengungsi korban kebakaran membutuhkan obat-obatan dan pakaian.""Yang belum ada ini obat-obatan. Ini anak saya juga ada yang sakit. Ini obat-obatan belum ada. Kalau untuk makanan ya cukup,"" kata Wakil Ketua RT 05 RW 02 Sumadi saat berbincang di posko pengungsian RW 02, Keagungan, Senin (19/4/2021).Selain itu, menurut Sumadi, para pengungsi kekurangan air bersih. Pengungsi juga membutuhkan pakaian ganti dan popok bayi.""Masih banyak anak-anak kecil yang nggak ada Pampers, nggak ada pakaian. Seperti saya sendiri baju yang  doang yang dibawa,"" sebut Sumadi.Salah seorang pengungsi lainnya, Nila (32), juga mengutarakan kebutuhannya. Nila membutuhkan popok bayi dan selimut.""Paling itu, selimut, Pampers anak kecil. Kalau makanan sih di- terus, nggak pernah kita sampai kelaparan. Kalau selimut sih belum ada,"" ungkap Nila.Seperti diketahui, kebakaran hebat terjadi di permukiman padat di Keagungan, Taman Sari, Jakarta Barat, kemarin sore. Kebakaran menghanguskan 112 rumah.""Informasi data sementara perkiraan bangunan yang terbakar sebanyak 112 rumah tinggal di RW 01 dan RW 02 Kelurahan Keagungan, Kecamatan Taman Sari, Jakarta Barat,"" kata Kepala Seksi Operasi Sudin Gulkarmat, Eko Sumarno, dilansir dari , Senin (19/4).Eko mengatakan warga yang terdampak kebakaran itu mencapai 250 KK. Mereka merupakan warga RT 001 dan 005 di RW 01, serta RT 004, 005, 006, 007, dan 008 di RW 02."
Hujan Es Terjang Dua Kecamatan di Cianjur,Ismet Selamet,"cianjur,hujan es,birojabar","Senin, 19 Apr 2021 18:49 WIB",Gambar tidak tersedia,"Hujan es terjadi dua kecamatan di Kabupaten Cianjur, Jawa Barat, Senin (19/4/2021) sore. Fenomena tersebut merupakan yang kedua di tahun ini.Sekretaris BPBD Kabupaten Cianjur Irfan Sopyan, mengatakan hujan es terjadi di Kecamatan Cianjur dan Kecamatan Cugenang. Beberapa sebelum hujan es dua wilayah tersebut diguyur hujan deras disertai angin kencang.""Hujan terjadi mulai pukul 15.00 WIB, tapi hujan es di Cugenang dan Kecamatan Cianjur terjadi sekitar pukul 16.00 WIB,"" ujar Irfan, Senin (19/4/2021).Menurutnya hujan es tersebut tidak menimbulkan kerusakan, sebab ukurannya hanya berdiameter 1 centimeter. ""Bahkan kebanyakan ukurannya lebih kecil,"" kata dia.Irfan menjelaskan hujan es tersebut merupakan yang kedua di tahun ini. Pada Januari lalu, hujan es terjadi di Kecamatan Pasirkuda Kabupaten Cianjur.Tak hanya itu, pada September 2020 lalu, kawasan Villa Kota Bunga Kecamatan Cipanas juga diguyur hujan es. Bahkan butiran es yang turun bersama hujan itu masuk ke kios dan rumah warga.Menurut Irfan, hujan es terjadi akibat cuaca ekstrem belakangan ini. Warga pun diimbau tetap waspada, sebab hujan es kerap terjadi disertai angin kencang.""Diharapkan tetap di dam rumah saat hujan es. Karena biasanya disertai angin kencang yang berpotensi mengakibatkan pohon tumbang,"" pungkasnya."
"Ada Aduan Dugaan Pungli PIP, DPRD Bantul Cek ke Sekolah",Pradito Rida Pertana,"bantul,pungli sekolah,program indonesia pintar,dprd bantul,birojatengdiy","Senin, 19 Apr 2021 19:00 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/anggota-komisi-d-dprd-kabupaten-bantul-saat-mendatangi-sd-sindet-kalurahan-trimulyo-kapanewon-jetis-terkait-dugaan-pungutan-li_169.jpeg?w=700&q=90,"Komisi D  menerima aduan wali murid SD Sindet, Kelurahan Trimulyo, Kapanewon Jetis, terkait dugaan pungli terhadap penerima program Indonesia pintar (PIP). Pihak sekolah menyebut tak ada pungli melainkan dana infak untuk membantu perbaikan infrastruktur.Wakil Ketua Komisi D DPRD Bantul Yasmuri yang datang bersama tiga anggota lainnya ini mengatakan pihaknya mendatangi SD Sindet dan menemui Kepala SD untuk meminta klarifikasi. Yakni soal dugaan pungli berkedok infak pembangunan.""Karena itu kami klarifikasi dan konfirmasi ke sekolah yang bersangkutan. Terkait kebenarannya seperti apa,"" kata Yasmuri saat ditemui wartawan di SD Sindet, Senin (19/4/2021).Di tempat yang sama, Kepala SD Sindet Heny Rismiyati langsung membantah adanya pungli terhadap siswa penerima PIP. Menurutnya, tudingan pungli itu merupakan uang sukarela dari wali murid.""Jadi saya memang sempat berkeluh kesah di forum tidak resmi kepada orang tua dan wali murid kalau mengurus PIP itu butuh tenaga ekstra. Selain itu saya tidak meminta kepada orang tua dan wali murid penerima PIP untuk memberikan bantuan kepada sekolah,"" terang Heny.Heny menyebut dari pertemuan di forum tersebut, ternyata ada perwakilan orang tua murid yang memberikan infak kepada sekolah. Tujuan infak itu untuk perbaikan infrastruktur sekolah, sehingga dia menolak disebut melakukan pungli.""Untuk infak PIP seikhlasnya dan itu tujuannya untuk pembangunan infrastruktur,"" tukasnya.Heny mencontohkan salah satu perbaikan infrastruktur itu digunakan untuk memperbaiki taman yang rusak. Dia berdalih untuk pemeliharaan taman, pihaknya tidak bisa meminta anggaran ke Dinas Pendidikan Pemuda dan Olahraga (Disdikpora) Kabupaten .Dihubungi terpisah, Kepala Disdikpora Kabupaten Bantul Isdarmoko menyebut pihaknya tidak memperbolehkan adanya pemotongan dana PIP. Isdarmoko menyebut pihaknya akan segera meminta klarifikasi kepada yang bersangkutan.""Yang jelas dari kami melarang pemotongan PIP, dan besok kami akan turun langsung untuk mengeceknya,"" ujar Isdarmoko."
Kata Pakar Politik Soal Mundurnya Pengumuman Reshuffle Kabinet,Hilda Meilisa,"reshuffle,reshuffle kabinet,jokowi,birojatim","Senin, 19 Apr 2021 17:51 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/pengamat-politik-asal-universitas-trunojoyo-mochtar-w-oetomo-2_169.jpeg?w=700&q=90,"Isu Indonesia Maju ramai sejak pekan lalu. Namun hingga kini, Presiden Joko Widodo belum juga mengumumkan siapa saja menteri yang di-. Menunggu apa?Pengamat politik asal Universitas Trunojoyo Madura, Mochtar W Oetomo mengatakan Jokowi kemungkinan besar menunggu momentum hari Rabu Pon atau Rabu Pahing.""Kebiasaan  saat mengumumkan keputusan penting biasanya Hari Rabu. Entah itu Rabu Pon atau Rabu Pahing,"" kata Mochtar saat dihubungi detikcom di Surabaya, Senin (19/4/2021).biasanya terjadi di hari Rabu. Entah kebetulan atau tidak, tercatat sudah lima kali reshuffle kabinet Jokowi dilaksanakan pada hari Rabu. Menurut kalender Jawa, tiga dilakukan pada Rabu Pon. Sementara dua  dilakukan pada Rabu Pahing.Direktur Surabaya Survey Center (SSC) ini menambahkan dipilihnya hari Rabu merupakan salah satu keyakinan kultural dan pilihansejak dulu.""Ini keyakinan kultural yang jadi pertimbangan dalam pengambilan keputusan. Ya itu pilihan Pak Jokowi,"" tambahnya.Jika mengikuti kebiasaan Jokowi, bukan tak mungkin  berikutnya dilakukan pada Rabu Pon atau Rabu Pahing. Pada April 2021 ini, Rabu Pahing jatuh pada pekan ini, tanggal 21 April. Sementara, pada Mei 2021, Rabu Pon jatuh pada 12 Mei, sehari sebelum Lebaran. Sedangkan Rabu Pahing jatuh pada 26 Mei.Sementara itu, Mochtar mengatakan ada sejumlah menteri yang namanya mencuat untuk di-. Misalnya Mendikbud Nadiem Makarim hingga Kepala Staf Kepresidenan (KSP) Moeldoko.
        "
Puluhan Knalpot dan Ban Motor Tak Standar Dimusnahkan di Mojokerto,Enggran Eko Budianto,"knalpot,knalpot brong,balap liar,birojatim","Senin, 19 Apr 2021 19:01 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/balap-liar-di-mojokerto_169.jpeg?w=700&q=90,"Polisi Mojokerto menyita 83 sepeda motor saat menggerebek arena . Puluhan knalpot dan ban tak standar yang dipasang pada motor-motor tersebut, hari ini dimusnahkan.Puluhan sepeda motor yang disita dari arena balap liar di Jalan Raya Desa Lengkong dan Domas, Kecamatan Trowulan kini diamankan di Mapolres Mojokerto. Puluhan motor milik penonton maupun pembalap liar itu terdiri dari berbagai tipe.Mulai dari jenis matic, bebek hingga sport 250 cc. Banyak dari motor sitaan itu dipasangi , serta velg dan ban kecil. Tak sedikit pula yang tidak dilengkapi dengan STNK. Sehingga Satreskrim Polres Mojokerto menyelidiki asal usul kendaraan tersebut.""Kami sita 67 knalpot dan ban yang tidak sesuai standar untuk menjamin ketertiban dan kenyamanan selama Ramadhan sekaligus mencegah kecelakaan lalu lintas,"" kata Kapolres Mojokerto AKBP Dony Alexander saat jumpa pers di kantornya, Jalan Gajah Mada, Kecamatan Mojosari, Senin (19/4/2021).Puluhan knalpot brong, serta velg dan ban kecil itu hari ini dimusnahkan setelah para pemiliknya membuat berita acara penyerahan ke polisi. Petugas memotong perlengkapan tak sesuai standar tersebut sehingga tidak bisa digunakan kembali oleh pemiliknya.""Setelah selesai sidang tilang, para pemilik bisa mengambil kendaraannya di Polres Mojokerto. Namun, lebih dulu kami minta mengembalikan perlengkapannya sesuai standar,"" terang Dony.Balap liar yang kerap terjadi di Jalan Raya Desa Lengkong dan Domas, lanjut Dony, selama ini meresahkan masyarakat. Warga sekitar yang akan sahur dan salat subuh menjadi terganggu. Selain itu, balap liar juga berpotensi memicu kecelakaan lalu lintas.""Langkah pencegahannya di titik-titik arena  kami terjunkan personel. Memang balap liar sudah terkoordinir, mereka punya grup WA untuk saling berbagi informasi terkait ada atau tidaknya polisi di lokasi,"" ungkapnya.Razia balap liar yang digelar Polres Mojokerto pada Minggu (18/4) dini hari menjadi bagian Operasi Mojokerto Sehat dan Tertib Ramadhan (Mesra). Operasi tersebut untuk membuat masyarakat merasa aman, nyaman dan tenteram. Khususnya selama Ramadhan.""Juga kami aktifkan patroli untuk mengantisipasi gangguan keamanan berupa curat, curas dan curanmor. Kami tempatkan personel di titik-titik yang kami anggap rawan,"" jelas Dony.Selain menyita 83 sepeda motor, polisi juga mengamankan 126 orang dari arena balap liar di Jalan Raya Desa Lengkong dan Domas. Dua di antaranya remaja perempuan. Mereka adalah pembalap liar dan para penonton.""Para pemuda itu kami beri hipnoterapi agar tidak mengulangi dan menjadi generasi bangsa yang lebih produktif,"" pungkas Dony."
"Antisipasi Pemudik, Pemkab Sukabumi Diminta Sediakan Tempat Karantina",Syahdan Alamsyah,"sukabumi,larangan mudik,karantina pemudik,birojabar","Senin, 19 Apr 2021 19:08 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/16/ketua-dprd-kabupaten-sukabumi-prihatin-pelajar-tewas-dibacok_169.jpeg?w=700&q=90,"Pemerintah Kabupaten Sukabumi diminta untuk menyiapkan tempat karantina massal untuk mengantisipasi kedatangan pemudik yang masuk ke wilayahnya.Permintaan itu diungkap Ketua DPRD Kabupaten Sukabumi, Yudha Sukmagara. Tempat karantina itu untuk mengantisipasi lonjakan kasus COVID-19 di Kabupaten Sukabumi akibat terjadinya kunjungan dari luar daerah sehubungan dengan perayaan Hari Raya Idul Fitri.""Tetap harus ada tempat khusus karantina, meskipun memang ada pelarangan mudik. Namun kita kan tidak tahu, pasti ada saja yang nekat mudik ke Sukabumi. Meskipun sekali lagi soal larangan (mudik) sudah diinformasikan oleh pemerintah pusat,"" kata Yudha kepada , Senin (19/4/2021).Tempat karantina dijelaskan Yudha merupakan antisipasi terhadap pemudik nakal yang nekat tetap pulang ke Sukabumi meskipun sudah ada larangan dari pemerintah. Nantinya mereka yang kedapatan nekat mudik, bisa langsung ditransfer ke tempat karantina.""Kami rasa tidak berlebihan, kalau dipersiapkan tempat karantina oleh pemerintah daerah. Tetap harus dipersiapkan tempat karantina apabila terjadi sesuatu yang tidak sama-sama kita inginkan misalkan lonjakan kasus COVID-19, minimal kita bisa antisipasi dengan tempat karantina itu,"" jelasnya.Yudha juga berharap tidak ada alasan soal kekurangan anggaran, hal itu bisa diakali dengan anggaran yang selama ini bersumber dari penanganan COVID-19 atau dari refocusing yang selama ini digalakan selama masa pandemi.""Pastinya kan ada anggaran untuk (penanganan) COVID, ada yang bersumber dari anggaran refocusing ya kenapa tidak dialokasikan juga ke arah karantina tadi. Sudah ada kan anggaran refocusing untuk penanganan itu. Utamanya kita ini upaya pencegahan akan banyak orang luar masuk Sukabumi, untuk menahan laju penyebaran COVID- 19,"" beber Yudha."
Pendeta Penyandang Dana Senpi KKB Intan Jaya Dibekuk Satgas Nemangkawi,Audrey Santoso,"satgas nemangkawi,operasi nemangkawi,kkb papua,biromakassar,polres nabire","Senin, 19 Apr 2021 17:22 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/satgas-nemangkawi-menangkap-paniel-kogoya-sesorang-yang-diduga-menjadi-penyandang-dana-kepada-kkb-papua-guna-membeli-senpi-dok_169.jpeg?w=700&q=90," menangkap Paniel Kogoya, seseorang yang diduga menjadi penyandang dana kepada kelompok kriminal bersenjata () Papua guna membeli senjata api (). Paniel saat ini ditahan di Polres Nabire untuk diperiksa lebih lanjut.""Satgas Gakkum Nemangkawi telah menangkap Paniel Kogoya, yang diduga pembeli atau pencari senjata KKB Intan Jaya,"" kata Kasatgas Humas Nemangkawi Kombes M Iqbal Alqudussy, dalam keterangannya, Senin (19/4/2021).Paniel, yang berprofesi sebagai pendeta, ditangkap siang tadi. Kasusnya akan diproses Polres Nabire.Iqbal juga mengungkapkan Paniel Kogoya sebenarnya sudah masuk dalam daftar pencarian orang (DPO) sejak Januari 2021 karena keterlibatannya dengan KKB Papua. Penangkapan Paniel sebagai pengembangan dari keterangan Didy Chandra (DC) dan Fuad Arisetyadi (FA), yang merupakan tersangka kepemilikan .""Dari hasil keterangan sementara, Paniel Kogoya mengakui telah membeli senjata empat pucuk dan telah diberikan kepada KKB Nduga yang ada di Intan Jaya,"" ujar Iqbal.Dia mengatakan, berdasarkan keterangan tersangka DC, diketahui sejumlah transaksi dilakukan Paniel Kogoya. Setidaknya ada 4 transaksi pembelian senpi yang dilakukan Paniel.""Dari hasil keterangan sementara, diketahui Paniel Kogoya setelah diamankan diketahui bahwa Paniel Kogoya mengakui telah membeli senjata sejumlah 4 pucuk yang telah diberikan kepada KKB Nduga yang ada di Intan Jaya dan sementara masih dilakukan interogasi untuk mendalami lebih lanjut,"" katanya.Sejumlah pembelian senpi yang dilakukan Paniel di antaranya pembelian senjata jenis M4 pada Juni 2019 senilai Rp 300 juta, pembelian senpi jenis M16 pada Desember 2019 seharga Rp 300 juta, dan memesan senpi seharga Rp 550 juta pada awal 2020."
